,index,Job Title,Salary Estimate,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,avg_salary
49,51,"Data Scientist, Analytics & Inference",$120K-$140K ,3.5,Codecademy,"New York, NY","New York, NY",51 to 200 employees,2011,Company - Private,Education Training Services,Education,130000.0
50,52,Data Analyst,$120K-$140K ,3.9,Point72,"New York, NY","Stamford, CT",1001 to 5000 employees,2014,Company - Private,Investment Banking & Asset Management,Finance,130000.0
51,53,CIB - Data Scientist,$120K-$140K ,3.9,JPMorgan Chase,"New York, NY","New York, NY",10000+ employees,1799,Company - Public,Investment Banking & Asset Management,Finance,130000.0
52,54,Data Scientist,$120K-$140K ,3.2,viagogo,"New York, NY","New York, NY",501 to 1000 employees,2006,Company - Private,Internet,Information Technology,130000.0
53,55,Data Scientist,$120K-$140K ,NA,CompIQ,"New York, NY","New York, NY",1 to 50 employees,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,130000.0
54,56,Lead Data Scientist - 66201BR,$120K-$140K ,3.3,Aetna,"New York, NY","Hartford, CT",10000+ employees,1853,Company - Public,Insurance Carriers,Insurance,130000.0
55,57,"Data Scientist, Analytics & Inference",$120K-$140K ,NA,Codeacademy,"New York, NY",-1,-1,NA,-1,Not Specified,Not Specified,130000.0
56,58,Data Scientist,$120K-$140K ,4.2,Gallup,"New York, NY","Washington, DC",1001 to 5000 employees,1935,Company - Private,Consulting,Business Services,130000.0
57,59,"Data Scientist, Buyer Experience",$120K-$140K ,3.6,eBay,"New York, NY","San Jose, CA",10000+ employees,1995,Company - Public,Internet,Information Technology,130000.0
58,60,Data Scientist,$120K-$140K ,3.9,Amazon,"New York, NY","Seattle, WA",10000+ employees,1994,Company - Public,Internet,Information Technology,130000.0
59,61,Data Scientist - Forecasting,$120K-$140K ,3.9,Amazon,"New York, NY","Seattle, WA",10000+ employees,1994,Company - Public,Internet,Information Technology,130000.0
60,64,Data Scientist - Machine Learning Platform,$119K-$147K ,3.8,Spotify,"New York, NY","Stockholm, Sweden",1001 to 5000 employees,2006,Company - Public,Internet,Information Technology,133000.0
61,65,Data Scientist - People Analytics,$119K-$147K ,NA,Doctors Without Borders | Médecins Sans Frontières,"New York, NY",-1,-1,NA,-1,Not Specified,Not Specified,133000.0
62,66,Data Scientist / Engineer,$119K-$147K ,5.0,Snappy,"New York, NY","New York, NY",1 to 50 employees,2015,Company - Private,Internet,Information Technology,133000.0
63,67,Data Scientist,$119K-$147K ,NA,Pierce Technology Corp,"New York, NY",-1,-1,NA,-1,Not Specified,Not Specified,133000.0
64,68,Applied Data Scientist,$119K-$147K ,3.4,Aptus Health,"New York, NY","Reading, MA",201 to 500 employees,2008,Company - Private,Advertising & Marketing,Business Services,133000.0
65,69,Data Scientist - Analytics Engineer,$119K-$147K ,3.9,"JPMorgan Chase Bank, N.A.","Jersey City, NJ","New York, NY",10000+ employees,1799,Company - Public,Investment Banking & Asset Management,Finance,133000.0
66,70,People Analytics Data Scientist,$119K-$147K ,4.4,D. E. Shaw & Co.,"New York, NY","New York, NY",1001 to 5000 employees,1988,Company - Private,Investment Banking & Asset Management,Finance,133000.0
67,71,Data Scientist,$119K-$147K ,3.0,Known,"New York, NY","New York, NY",201 to 500 employees,2004,Company - Private,Advertising & Marketing,Business Services,133000.0
68,72,Credit Analytics Manager,$119K-$147K ,4.0,Liberty Lending,"New York, NY","New York, NY",51 to 200 employees,2015,Company - Private,Lending,Finance,133000.0
69,73,Data Scientist - Nationwide Opportunities,$119K-$147K ,3.9,Amazon,"New York, NY","Seattle, WA",10000+ employees,1994,Company - Public,Internet,Information Technology,133000.0
70,74,Data Scientist,$119K-$147K ,3.6,DoSomething.org,"New York, NY","New York, NY",51 to 200 employees,1993,Nonprofit Organization,Social Assistance,Non-Profit,133000.0
71,75,Data Scientist,$119K-$147K ,3.9,ApTask,"New York, NY","Iselin, NJ",201 to 500 employees,2010,Company - Private,IT Services,Information Technology,133000.0
72,76,Data Scientist,$119K-$147K ,2.8,Match Group,"New York, NY","Norwalk, CT",1001 to 5000 employees,1998,Company - Private,Advertising & Marketing,Business Services,133000.0
73,77,Data Scientist - Power BI,$119K-$147K ,4.1,UCI,"New York, NY","Tehran, Iran",1 to 50 employees,NA,Company - Private,Not Specified,Not Specified,133000.0
74,80,Data Engineer (Python),$74K-$124K ,4.4,Conductor,"New York, NY","New York, NY",201 to 500 employees,2010,Company - Private,Internet,Information Technology,99000.0
75,81,Data Scientist - Next Gen Digital Investing App,$74K-$124K ,3.3,Forbes Media,"Jersey City, NJ","Jersey City, NJ",201 to 500 employees,1917,Company - Private,Publishing,Media,99000.0
76,82,Data Scientist,$74K-$124K ,2.9,Interactive Brokers,"New York, NY","Greenwich, CT",1001 to 5000 employees,NA,Company - Public,Brokerage Services,Finance,99000.0
77,83,Data Scientist - Disney Streaming Services,$74K-$124K ,4.0,The Walt Disney Company,"New York, NY","Burbank, CA",10000+ employees,1923,Company - Public,Motion Picture Production & Distribution,Media,99000.0
78,84,Data Scientist Technical Lead,$74K-$124K ,4.4,Google,"New York, NY","Mountain View, CA",10000+ employees,1998,Company - Public,Internet,Information Technology,99000.0
79,85,Healthcare Data Scientist,$74K-$124K ,3.8,Milliman,"New York, NY","Seattle, WA",1001 to 5000 employees,1947,Company - Private,Consulting,Business Services,99000.0
80,86,Data Scientist - Relocate to Washington D.C.,$74K-$124K ,3.8,CIA,"New York, NY","Langley, VA",Unknown,1947,Government,Federal Agencies,Government,99000.0
81,87,Senior Data Scientist,$74K-$124K ,2.7,Metroplus Health Plan,"New York, NY","New York, NY",1001 to 5000 employees,1985,Nonprofit Organization,Health Care Services & Hospitals,Health Care,99000.0
82,88,Data Scientist,$74K-$124K ,NA,Huxley Banking & Financial Services,"New York, NY",-1,-1,NA,-1,Not Specified,Not Specified,99000.0
83,89,"Data Scientist/Engineer (SAS, R code, Python & Sql (Open to remote Workers))",$74K-$124K ,4.3,Medidata Solutions,"New York, NY","New York, NY",1001 to 5000 employees,1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,99000.0
84,90,"Data Scientist, Analytics- Instagram-Family Stories",$74K-$124K ,4.5,Facebook,"New York, NY","Menlo Park, CA",10000+ employees,2004,Company - Public,Internet,Information Technology,99000.0
85,91,Data Scientist,$74K-$124K ,NA,One Drop,"New York, NY","New York, NY",1 to 50 employees,NA,Company - Private,Computer Hardware & Software,Information Technology,99000.0
86,92,Point72 Data Scientist,$74K-$124K ,3.9,Point72,"New York, NY","Stamford, CT",1001 to 5000 employees,2014,Company - Private,Investment Banking & Asset Management,Finance,99000.0
87,93,"Data Scientist II, Data, Models & Decisions",$74K-$124K ,3.3,"LivePerson, Inc.","New York, NY","New York, NY",1001 to 5000 employees,1995,Company - Public,Internet,Information Technology,99000.0
88,94,Data Scientist,$74K-$124K ,NA,Microagility,"New York, NY","Princeton, NJ",1 to 50 employees,NA,Company - Private,Consulting,Business Services,99000.0
89,95,Data Scientist/Data Architect,$74K-$124K ,NA,Financial Services Company,"New York, NY",-1,-1,NA,-1,Not Specified,Not Specified,99000.0
90,96,AI - Quantitative Research Scientist,$74K-$124K ,3.8,Bloomberg,"New York, NY","New York, NY",10000+ employees,1981,Company - Private,Computer Hardware & Software,Information Technology,99000.0
91,97,Data Scientist,$74K-$124K ,3.6,Koch Industries,"New York, NY","Wichita, KS",10000+ employees,1940,Company - Private,Oil & Gas Exploration & Production,"Oil, Gas, Energy & Utilities",99000.0
92,98,Data Scientist - Altdata,$74K-$124K ,3.3,Huxley,"New York, NY","London, United Kingdom",201 to 500 employees,1995,Company - Private,Staffing & Outsourcing,Business Services,99000.0
93,99,Data Analyst,$74K-$124K ,4.1,NYU Langone Health,"New York, NY","New York, NY",10000+ employees,1841,Hospital,Health Care Services & Hospitals,Health Care,99000.0
94,100,Data Scientist,$74K-$124K ,2.8,Gate Staffing LLC,"New York, NY","East Northport, NY",1 to 50 employees,2010,Self-employed,IT Services,Information Technology,99000.0
95,101,Data Scientist,$74K-$124K ,NA,ConcertAI,"New York, NY",-1,-1,NA,-1,Not Specified,Not Specified,99000.0
96,102,"Data Scientist, Recommendations",$74K-$124K ,3.4,Tapestry,"New York, NY","New York, NY",10000+ employees,2017,Company - Public,Other Retail Stores,Retail,99000.0
97,103,"Data Scientist, Analytics & Insights",$74K-$124K ,3.4,Tapestry,"New York, NY","New York, NY",10000+ employees,2017,Company - Public,Other Retail Stores,Retail,99000.0
98,104,Data Scientist,$74K-$124K ,2.9,CKM Advisors,"New York, NY","New York, NY",51 to 200 employees,2011,Company - Private,Consulting,Business Services,99000.0
99,105,Machine Learning Engineer/Scientist,$74K-$124K ,4.8,Jane Street,"New York, NY","New York, NY",501 to 1000 employees,2000,Company - Private,Investment Banking & Asset Management,Finance,99000.0
100,106,Point72 Healthcare Data Scientist,$74K-$124K ,3.9,Point72,"New York, NY","Stamford, CT",1001 to 5000 employees,2014,Company - Private,Investment Banking & Asset Management,Finance,99000.0
101,107,Senior Data Scientist - Automated Marketing,$74K-$124K ,3.8,Spotify,"New York, NY","Stockholm, Sweden",1001 to 5000 employees,2006,Company - Public,Internet,Information Technology,99000.0
102,108,Data Scientist,$74K-$124K ,5.0,Averity,"New York, NY","New York, NY",1 to 50 employees,2014,Company - Private,Staffing & Outsourcing,Business Services,99000.0
103,109,Data Scientist,$74K-$124K ,4.2,The CARIAN Group,"New York, NY","South Plainfield, NJ",1 to 50 employees,NA,Company - Private,Consulting,Business Services,99000.0
104,112,Machine Learning & Data Engineer (Remote),$102K-$121K ,4.7,Jun Group Productions LLC,"New York, NY","New York, NY",51 to 200 employees,2005,Company - Private,Internet,Information Technology,111500.0
105,113,Data Scientist,$102K-$121K ,NA,GradTests (gradtests.com),"New York, NY",-1,-1,NA,-1,Not Specified,Not Specified,111500.0
106,114,Data Scientist,$102K-$121K ,2.8,Committee of 100,"New York, NY","New York, NY",1 to 50 employees,NA,Company - Private,Social Assistance,Non-Profit,111500.0
107,115,Data Scientist / Statistician,$102K-$121K ,4.2,NJF Global Holdings,"New York, NY","London, United Kingdom",51 to 200 employees,2003,Company - Private,Staffing & Outsourcing,Business Services,111500.0
108,116,Data Analyst,$102K-$121K ,4.0,DMGT,"New York, NY","London, United Kingdom",5001 to 10000 employees,1896,Company - Public,Venture Capital & Private Equity,Finance,111500.0
109,117,Data Scientist (Java),$102K-$121K ,4.9,ubergig,"New York, NY","New York, NY",1 to 50 employees,2009,Company - Private,Building & Personnel Services,Business Services,111500.0
110,118,Data Scientist,$102K-$121K ,4.0,OneWire,"New York, NY","New York, NY",1 to 50 employees,2007,Company - Private,Staffing & Outsourcing,Business Services,111500.0
111,119,Data Scientist,$102K-$121K ,3.4,Thomas,"New York, NY","New York, NY",201 to 500 employees,1898,Company - Private,Advertising & Marketing,Business Services,111500.0
112,120,Data Scientist,$102K-$121K ,2.7,TBWA\Chiat\Day,"New York, NY","New York, NY",1001 to 5000 employees,1968,Company - Public,Advertising & Marketing,Business Services,111500.0
113,121,Statistician (Data Scientist) *12 month Roster* *Direct Hire*,$102K-$121K ,3.5,Internal Revenue Service,"New York, NY","Washington, DC",10000+ employees,1862,Government,Federal Agencies,Government,111500.0
114,122,Data Scientist,$102K-$121K ,3.4,"Harry and David, LLC","Carle Place, NY","Medford, OR",501 to 1000 employees,1934,Company - Public,Food & Beverage Stores,Retail,111500.0
115,123,Data Science Specialist USA,$102K-$121K ,3.3,Mphasis limited,"New York, NY","Bengaluru, India",10000+ employees,1992,Company - Public,Computer Hardware & Software,Information Technology,111500.0
116,124,Senior Data Scientist,$102K-$121K ,2.5,Foursquare,"New York, NY","New York, NY",201 to 500 employees,2009,Company - Private,Internet,Information Technology,111500.0
117,125,Data Scientist,$102K-$121K ,NA,Glean Analytics Inc.,"New York, NY",-1,-1,NA,-1,Not Specified,Not Specified,111500.0
118,126,"Quantitative Developer, Data & Institutional Markets",$102K-$121K ,4.4,Ripple,"New York, NY","San Francisco, CA",201 to 500 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,111500.0
119,127,"Data Scientist, Two Sigma Private Investments",$102K-$121K ,4.4,Two Sigma,"New York, NY","New York, NY",1001 to 5000 employees,2001,Company - Private,Investment Banking & Asset Management,Finance,111500.0
120,128,"Senior Data Scientist, Game Analytics",$102K-$121K ,4.1,Rockstar Games,"New York, NY","New York, NY",1001 to 5000 employees,1998,Subsidiary or Business Segment,Video Games,Media,111500.0
121,129,Data Scientist,$102K-$121K ,4.8,TechProjects,"New York, NY","North Brunswick, NJ",1 to 50 employees,2011,Company - Private,IT Services,Information Technology,111500.0
122,130,Data Scientist,$102K-$121K ,3.6,Spring Health,"New York, NY","New York, NY",1 to 50 employees,2016,Company - Private,Health Care Services & Hospitals,Health Care,111500.0
123,131,Senior Data Scientist,$102K-$121K ,3.8,Grubhub,"New York, NY","Chicago, IL",1001 to 5000 employees,2004,Company - Public,Internet,Information Technology,111500.0
124,132,Data Scientist,$102K-$121K ,5.0,SkillSoniq,"New York, NY","Jersey City, NJ",Unknown,NA,Company - Public,Not Specified,Not Specified,111500.0
125,133,Data Scientist - Demand Forecasting,$102K-$121K ,3.9,Amazon,"New York, NY","Seattle, WA",10000+ employees,1994,Company - Public,Internet,Information Technology,111500.0
126,134,Senior Data Scientist,$102K-$121K ,4.5,Arena,"New York, NY","Baltimore, MD",1 to 50 employees,2014,Company - Private,Computer Hardware & Software,Information Technology,111500.0
127,135,Quantitative Analyst Intern,$102K-$121K ,4.4,D. E. Shaw & Co.,"New York, NY","New York, NY",1001 to 5000 employees,1988,Company - Private,Investment Banking & Asset Management,Finance,111500.0
128,136,"Data Scientist / Analytics, Data Engineering",$102K-$121K ,1.0,Sphinix Solutions,"New York, NY","New York, NY",1 to 50 employees,NA,Company - Private,IT Services,Information Technology,111500.0
129,137,Data Analyst (Games),$102K-$121K ,NA,Carry1st,"New York, NY",-1,-1,NA,-1,Not Specified,Not Specified,111500.0
130,138,Data Scientist,$102K-$121K ,4.0,Lorven Technologies Inc,"New York, NY","Plainsboro, NJ",1 to 50 employees,NA,Company - Private,Accounting,Accounting & Legal,111500.0
131,139,Sports Betting Data Scientist,$102K-$121K ,NA,Line Sniper,"New York, NY",-1,-1,NA,-1,Not Specified,Not Specified,111500.0
132,140,Data Scientist,$102K-$121K ,3.6,Strategic Financial Solutions,"New York, NY","New York, NY",501 to 1000 employees,2007,Company - Private,Consumer Product Rental,Consumer Services,111500.0
133,141,Data Scientist,$102K-$121K ,3.7,Audible,"Newark, NJ","Newark, NJ",1001 to 5000 employees,1995,Subsidiary or Business Segment,Motion Picture Production & Distribution,Media,111500.0
134,144,Data Scientist,$129K-$210K ,3.4,Voice,"Brooklyn, NY",-1,Unknown,NA,Company - Private,Not Specified,Not Specified,169500.0
135,145,Data Engineer,$129K-$210K ,4.7,Seated,"New York, NY","New York, NY",1 to 50 employees,2017,Company - Private,Internet,Information Technology,169500.0
136,146,"Senior / Data Scientist, Ads and Messaging R&D",$129K-$210K ,3.8,Spotify,"New York, NY","Stockholm, Sweden",1001 to 5000 employees,2006,Company - Public,Internet,Information Technology,169500.0
137,147,Data Scientist/Data Science Instructor (Part-time),$129K-$210K ,4.9,NYC Data Science Academy,"New York, NY","New York, NY",1 to 50 employees,2014,Company - Private,Education Training Services,Education,169500.0
138,148,Federal - Data Scientist,$129K-$210K ,4.2,Solekai Systems Corp,"New York, NY","San Diego, CA",1 to 50 employees,2002,Company - Private,Computer Hardware & Software,Information Technology,169500.0
139,149,Data Scientist,$129K-$210K ,3.4,"Digital Intelligence Systems, LLC","Franklin Lakes, NJ","Mc Lean, VA",1001 to 5000 employees,1994,Company - Private,IT Services,Information Technology,169500.0
140,150,"Senior Analyst, Data Science",$129K-$210K ,3.9,Roku,"New York, NY","San Jose, CA",1001 to 5000 employees,2002,Company - Public,IT Services,Information Technology,169500.0
141,151,Senior Data Scientist,$129K-$210K ,4.4,Oliver Wyman,"New York, NY","New York, NY",1001 to 5000 employees,1984,Subsidiary or Business Segment,Consulting,Business Services,169500.0
142,152,Machine Learning Researcher / Data Scientist,$129K-$210K ,NA,"J Harlan Group, LLC","New York, NY","New York, NY (US), NY",1 to 50 employees,NA,Company - Private,Not Specified,Not Specified,169500.0
143,153,Applied Scientist,$129K-$210K ,3.9,Amazon,"New York, NY","Seattle, WA",10000+ employees,1994,Company - Public,Internet,Information Technology,169500.0
144,154,Quantitative Researcher - Portfolio Modeling,$129K-$210K ,NA,Edward Daniels Group,"New York, NY","New York, NY",1 to 50 employees,2007,Company - Private,IT Services,Information Technology,169500.0
145,155,Data Scientist,$129K-$210K ,4.8,InvenTech Info,"Jersey City, NJ","Bengaluru, India",201 to 500 employees,2010,Company - Private,IT Services,Information Technology,169500.0
146,156,Data Analyst,$129K-$210K ,5.0,Whip Media Group,"New York, NY","Santa Monica, CA",51 to 200 employees,2016,Company - Private,Not Specified,Not Specified,169500.0
147,157,Investment & Data Science Intern,$129K-$210K ,4.0,JAG Capital,"New York, NY","San Antonio, TX",1 to 50 employees,NA,Company - Private,Food & Beverage Manufacturing,Manufacturing,169500.0
148,158,Data Scientist(s)/Machine Learning Engineer,$129K-$210K ,5.0,Blue Horizon Tek Solutions,"New York, NY","Coconut Creek, FL",1 to 50 employees,1987,Company - Private,Staffing & Outsourcing,Business Services,169500.0
149,159,CCB F&BM - Quantitative Modeler / Data Scientist - Marketing - Associate,$129K-$210K ,3.9,"JPMorgan Chase Bank, N.A.","New York, NY","New York, NY",10000+ employees,1799,Company - Public,Investment Banking & Asset Management,Finance,169500.0
150,160,Data Scientist,$129K-$210K ,3.8,NPD,"Port Washington, NY","Port Washington, NY",1001 to 5000 employees,1966,Company - Private,Research & Development,Business Services,169500.0
151,161,Data Science & Machine Learning Research Intern,$129K-$210K ,NA,Altversity,"New York, NY",-1,-1,NA,-1,Not Specified,Not Specified,169500.0
152,162,"Sr. Data Scientist/Data Engineer, AI (Tech Delivery Lead) – New York, NY/Dallas, TX",$129K-$210K ,3.3,Fujitsu,"New York, NY","MINATO-KU, Japan",10000+ employees,1935,Company - Public,Not Specified,Not Specified,169500.0
153,163,Data Scientist,$129K-$210K ,2.8,1-800-Flowers,"New York, NY","Carle Place, NY",1001 to 5000 employees,1976,Company - Public,Wholesale,Business Services,169500.0
154,164,"Senior Data Scientist, Real World EvidenceNY",$129K-$210K ,4.0,Flatiron Health,"New York, NY","New York, NY",501 to 1000 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,169500.0
155,165,Data Scientist - Leading Quant Hedge Fund,$129K-$210K ,NA,Edward Daniels Group,"New York, NY","New York, NY",1 to 50 employees,2007,Company - Private,IT Services,Information Technology,169500.0
156,166,Data Scientist II,$129K-$210K ,3.6,MediaMath,"New York, NY","New York, NY",501 to 1000 employees,2007,Company - Private,Advertising & Marketing,Business Services,169500.0
157,167,Data Scientist,$129K-$210K ,NA,The Organic Recruiter,"New York, NY",-1,-1,NA,-1,Not Specified,Not Specified,169500.0
